project,operator,measured_date,start_time,end_time,battery_index,battery_serial,cycle_count
Akwaaba,Martin Mawusi,2025-09-19,2025-09-19 08:32:35.642000+00:00,2025-09-19 08:49:20.152000+00:00,3,4ERPLCRDA0E3Z5,71
Akwaaba,Martin Mawusi,2025-09-19,2025-09-19 08:32:35.642000+00:00,2025-09-19 08:49:20.152000+00:00,5,4ERPLCREA2DJEM,81
Akwaaba,Martin Mawusi,2025-10-31,2025-10-31 15:17:33.379000+00:00,2025-10-31 15:38:57.310000+00:00,7,4ERKL696G30ZK5,115
Akwaaba,Martin Mawusi,2025-10-31,2025-10-31 15:17:33.379000+00:00,2025-10-31 15:38:57.310000+00:00,6,4ERPLCQEA2DGWX,92
Akwaaba,Martin Mawusi,2025-10-31,2025-10-31 15:17:33.379000+00:00,2025-10-31 15:38:57.310000+00:00,2,4ERPLCQEA2DH08,91
Akwaaba,Martin Mawusi,2025-10-31,2025-10-31 15:17:33.379000+00:00,2025-10-31 15:38:57.310000+00:00,1,4ERPLCQEA2DHC1,93
Akwaaba,Martin Mawusi,2025-10-31,2025-10-31 15:17:33.379000+00:00,2025-10-31 15:38:57.310000+00:00,4,4ERPLCRDA0E3WT,90
Akwaaba,Martin Mawusi,2025-10-31,2025-10-31 15:17:33.379000+00:00,2025-10-31 15:38:57.310000+00:00,3,4ERPLCRDA0E3Z5,80
Akwaaba,Martin Mawusi,2025-10-31,2025-10-31 15:17:33.379000+00:00,2025-10-31 15:38:57.310000+00:00,5,4ERPLCREA2DJEM,89
Akwaaba,Martin Mawusi,2025-11-29,2025-11-29 13:33:31.644000+00:00,2025-11-29 13:59:36.640000+00:00,7,4ERKL696G30ZK5,125
Akwaaba,Martin Mawusi,2025-11-29,2025-11-29 13:33:31.644000+00:00,2025-11-29 13:59:36.640000+00:00,6,4ERPLCQEA2DGWX,103
Akwaaba,Martin Mawusi,2025-11-29,2025-11-29 13:33:31.644000+00:00,2025-11-29 13:59:36.640000+00:00,2,4ERPLCQEA2DH08,98
Akwaaba,Martin Mawusi,2025-11-29,2025-11-29 13:33:31.644000+00:00,2025-11-29 13:59:36.640000+00:00,1,4ERPLCQEA2DHC1,101
Akwaaba,Martin Mawusi,2025-11-29,2025-11-29 13:33:31.644000+00:00,2025-11-29 13:59:36.640000+00:00,4,4ERPLCRDA0E3WT,100
Akwaaba,Martin Mawusi,2025-11-29,2025-11-29 13:33:31.644000+00:00,2025-11-29 13:59:36.640000+00:00,3,4ERPLCRDA0E3Z5,88
Akwaaba,Martin Mawusi,2025-11-29,2025-11-29 13:33:31.644000+00:00,2025-11-29 13:59:36.640000+00:00,5,4ERPLCREA2DJEM,99
Akwaaba,Martin Mawusi,2026-01-15,2026-01-15 14:44:13.023000+00:00,2026-01-15 14:57:29.117000+00:00,7,4ERKL696G30ZK5,138
Akwaaba,Martin Mawusi,2026-01-15,2026-01-15 14:44:13.023000+00:00,2026-01-15 14:57:29.117000+00:00,6,4ERPLCQEA2DGWX,116
Akwaaba,Martin Mawusi,2026-01-15,2026-01-15 14:44:13.023000+00:00,2026-01-15 14:57:29.117000+00:00,2,4ERPLCQEA2DH08,111
Akwaaba,Martin Mawusi,2026-01-15,2026-01-15 14:44:13.023000+00:00,2026-01-15 14:57:29.117000+00:00,1,4ERPLCQEA2DHC1,118
Akwaaba,Martin Mawusi,2026-01-15,2026-01-15 14:44:13.023000+00:00,2026-01-15 14:57:29.117000+00:00,4,4ERPLCRDA0E3WT,112
Akwaaba,Martin Mawusi,2026-01-15,2026-01-15 14:44:13.023000+00:00,2026-01-15 14:57:29.117000+00:00,3,4ERPLCRDA0E3Z5,104
Akwaaba,Martin Mawusi,2026-01-15,2026-01-15 14:44:13.023000+00:00,2026-01-15 14:57:29.117000+00:00,5,4ERPLCREA2DJEM,112
